spstock2,totalACL_mt,nonsector_nonrec_fraction,rec_fraction,sector_frac
AmericanLobster,,0,0,1
AmericanPlaiceFlounder,16646,.029262286,0,.9707377
CodGB,20048,.084674582,0,.9153254
CodGOM,27585,.047714334,.33700001,.61528563
HaddockGB,281968,.013776031,0,.986224
HaddockGOM,13301,.024862792,.27500001,.7001372
Halibut,765,.3027451,0,.6972549
Monkfish,,0,0,1
OceanPout,1716,.17226107,0,.82773894
Other,,0,0,1
Pollock,136682,.086478829,0,.91352117
RedSilverOffshoreHake,,0,0,1
Redfish,77086,.0025075891,0,.99749243
SeaScallop,,0,0,1
Skates,,0,0,1
SpinyDogfish,,0,0,1
SquidMackerelButterfishHerring,,0,0,1
SummerFlounder,,0,0,1
WhiteHake,29214,.019018278,0,.98098171
WindowpaneN,1264,.38631329,0,.61368668
WindowpaneS,3610,.95382273,0,.046177268
WinterFlounderGB,18067,.025250457,0,.97474957
WinterFlounderGOM,5916,.15647396,0,.84352601
WinterFlounderSNEMA,8379,.23893066,0,.76106936
WitchFlounder,7299,.14649953,0,.85350049
Wolffish,580,.018965518,0,.98103446
YellowtailFlounderCCGOM,5306,.13390501,0,.86609501
YellowtailFlounderGB,4213.399993896484,.13283809,0,.86716193
YellowtailFlounderSNEMA,4555,.23183315,0,.76816684
